loan_amount,rate_of_interest,Upfront_charges,term,property_value,Credit_Score,income,open_credit,Neg_ammortization,interest_only,lump_sum_payment,age,Region,business_or_commercial,occupancy_type,Secured_by,Status
476500,4.375,795.0,360.0,598000.0,889,40020.0,0,0,0,0,1,0,0,0,0,0
296500,3.5,6482.87,360.0,408000.0,797,6120.0,0,0,0,0,1,0,0,0,0,0
226500,3.99,2596.45,360.0,238000.0,774,3420.0,0,0,0,0,3,3,0,0,0,1
156500,3.99,2596.45,360.0,158000.0,869,4380.0,0,0,0,0,4,1,1,0,0,1
286500,3.625,0.0,360.0,288000.0,652,4380.0,0,0,0,0,4,1,0,0,0,0
156500,2.99,4524.76,360.0,158000.0,646,5760.0,0,0,0,0,6,0,0,0,0,0
156500,3.99,5027.75,360.0,298000.0,884,2820.0,0,0,0,0,4,0,0,0,0,0
126500,4.375,3617.19,360.0,168000.0,739,2220.0,0,0,0,0,4,0,0,0,0,0
346500,3.99,2596.45,360.0,418000.0,659,2460.0,0,0,0,1,5,1,0,0,0,1
126500,5.375,1706.88,360.0,318000.0,518,7680.0,0,0,0,0,4,1,0,2,0,0
76500,3.99,2596.45,360.0,418000.0,662,5520.0,1,0,1,0,5,0,0,0,0,1
266500,4.375,4907.81,360.0,348000.0,568,4680.0,0,0,0,0,2,1,0,0,0,0
96500,3.5,2855.0,360.0,208000.0,545,1920.0,0,0,0,0,4,1,0,0,0,0
486500,3.25,0.0,360.0,558000.0,689,5760.0,0,0,0,0,6,0,1,0,0,0
136500,4.99,3952.69,360.0,168000.0,524,3600.0,0,0,0,0,4,1,0,0,0,0
636500,3.625,0.0,360.0,768000.0,833,5760.0,0,0,0,0,2,1,1,0,0,0
166500,4.875,2999.72,360.0,218000.0,713,5580.0,0,0,0,0,5,1,0,0,0,0
126500,3.99,2596.45,300.0,138000.0,532,2400.0,0,0,0,0,4,0,0,0,0,1
116500,5.875,3390.0,324.0,148000.0,668,7620.0,0,1,0,0,4,1,0,0,0,0
336500,3.99,2596.45,300.0,408000.0,892,5580.0,0,1,1,0,3,1,0,0,0,1
206500,3.99,2596.45,360.0,248000.0,573,5760.0,0,0,0,0,4,1,0,0,0,1
476500,3.25,3020.0,360.0,578000.0,855,9060.0,0,0,0,0,2,0,0,0,0,0
206500,3.99,2991.29,360.0,218000.0,678,2100.0,0,0,0,0,4,1,0,0,0,0
106500,4.5,3875.0,360.0,158000.0,703,1800.0,0,0,0,0,5,1,0,0,0,0
326500,3.5,0.0,360.0,398000.0,711,5940.0,0,0,0,0,2,1,0,0,0,0
356500,4.25,0.0,360.0,368000.0,647,6720.0,0,0,0,0,1,1,0,0,0,0
426500,3.75,0.0,360.0,428000.0,805,7380.0,0,0,0,0,2,1,0,0,0,0
256500,3.99,3178.41,360.0,328000.0,847,2820.0,0,0,0,0,4,1,1,0,0,0
286500,3.99,2596.45,360.0,288000.0,502,13740.0,0,0,0,0,2,0,1,0,0,1
286500,4.125,8375.0,360.0,388000.0,712,5460.0,0,0,0,0,3,1,0,0,0,0
446500,4.625,4758.11,360.0,728000.0,696,6480.0,0,0,0,0,2,0,1,0,0,0
156500,3.125,919.05,360.0,158000.0,580,5760.0,0,0,0,0,5,1,0,0,0,0
176500,3.99,2562.5,360.0,308000.0,866,1800.0,0,1,0,0,5,1,0,0,0,0
126500,3.75,4063.06,180.0,458000.0,502,1980.0,0,0,0,0,6,2,0,0,0,0
236500,4.99,1250.0,360.0,248000.0,583,5040.0,0,0,0,0,5,1,0,0,0,0
